Sector Number / Name,Column1,Part,Vertical Limits,Column2,Lateral Limits
22,,4,,-----,"503700N,0012620W-504125N,0012315W"
,,,,FL125,
,,,,FL185,"504902N,0010057W-504848N,00052l 4W-504153N,0004450W-"
22,,5,,-----,"503700N,0003938W-503700N,0010351W-504139N,0010307W-"
,,,,FL125,504902N.0010057W
,,,,FL345,"503700N,0012620W-503700N,0010351W-500000N,0010929W-"
22,,6,,------,"500000N,0014301W-501616N,0014042W-502754N,0013240W-"
,,,,DB,"503700N,0012620W"
,,,,FL185,"503700N,0010351W-503700N,0003938W-502957N,0003209W-"
22,,7,,------,"500000N,0003158W-500000N,0010929W-503700N,0010351W"
,,,,DB,
,,,,FL345,"502754N,0013240W-501616N,0014042W-500000N,0014301W-"
22,,8,,------,"500000N,0020000W-502754N,0013240W"
,,,,FL225,
,LONDON ACC,,,,
,,,FL265,,"520522N,0035849W-520001N,0031635W-520001N,0024700W-"
,23,1,-----,,"520916N,0020428W-514751N,0014136W-514126N,0020000W-"
,,,DB,,511527N.0020000W-512905N.0034542W-520522N.0035849W
,23,2,"FL275
-----
DB",,"514751N,0014136W-514211N,0013537W-514055N,0013458W-
513706N,0013350W-512624N,0012933W-511837N,0012813W-
513106N,0031031-5123N8,0031600-5152N7,020000W-
514126N.0020000W-514751N.0014136W"
,23,3,"FL275
-------
FL155",,"514055N,0013458W-513943N,0012646W-513601N,0012453W-
513706N,0013350W-514055N,0013458W"
,,,FL275,,"513706N,0013350W-513601N,0012453W-513533N,0012103W-"
,23,4,-----,,"511617N,0012057W-511350N,0012159W-511306N,0013031W-"
