,name,type,coords,freq
303,GAKKA,FIX,N50.41.37.31 W003.55.42.32,000.000
304,GANKI,FIX,N56.45.48.00 W002.58.08.00,000.000
305,GAPLI,FIX,N50.00.00.00 W008.00.00.00,000.000
306,GARMI,FIX,N50.00.00.00 W001.22.49.59,000.000
307,GARVA,FIX,N57.41.18.00 W004.29.41.35,000.000
308,GASBA,FIX,N51.50.10.40 E000.48.52.85,000.000
309,GASGU,FIX,N51.12.23.99 W000.57.36.02,000.000
310,GASKO,FIX,N54.13.28.97 W001.57.21.30,000.000
311,GATRA,FIX,N51.17.52.35 W006.37.55.07,000.000
312,GAVEL,FIX,N59.23.00.00 W001.24.21.67,000.000
313,GAVGO,FIX,N51.33.49.57 W001.42.36.28,000.000
314,GELPO,FIX,N48.38.39.06 W009.30.09.45,000.000
315,GETNO,FIX,N53.55.47.97 W003.29.47.06,000.000
316,GIBSO,FIX,N50.44.59.08 W002.31.07.33,000.000
317,GIBSU,FIX,N56.45.47.28 E003.16.10.15,000.000
318,GIGTO,FIX,N53.38.01.06 W004.05.50.62,000.000
319,GIGUL,FIX,N54.36.26.27 E003.10.09.89,000.000
320,GILDA,FIX,N51.36.05.68 E000.35.01.04,000.000
321,GILTI,FIX,N51.34.13.01 E002.03.18.17,000.000
322,GINGA,FIX,N56.55.30.15 W009.30.00.00,000.000
323,GINIS,FIX,N53.27.38.95 W004.51.28.61,000.000
324,GIPER,FIX,N51.00.00.00 W012.00.00.00,000.000
325,GIPLO,FIX,N53.31.31.00 W000.47.23.00,000.000
326,GIRLI,FIX,N54.42.40.51 W001.48.11.49,000.000
327,GIRVA,FIX,N55.11.07.99 W004.53.46.67,000.000
328,GISOK,FIX,N51.30.08.62 W005.07.27.62,000.000
329,GITUS,FIX,N50.20.00.14 W005.41.59.89,000.000
330,GIVEM,FIX,N55.27.53.52 E000.14.52.78,000.000
331,GIVPO,FIX,N53.17.09.77 E002.52.09.02,000.000
332,GIVUN,FIX,N50.43.58.45 W000.48.03.14,000.000
333,GLESK,FIX,N56.54.00.00 W002.47.45.28,000.000
334,GOBNU,FIX,N51.20.52.92 W001.06.25.12,000.000
335,GODLU,FIX,N51.09.58.44 E001.17.04.26,000.000
336,GODOS,FIX,N53.14.56.55 E003.25.46.79,000.000
337,GODPA,FIX,N52.59.00.00 W003.10.01.00,000.000
338,GOGIG,FIX,N51.53.30.00 W003.15.02.00,000.000
339,GOGSI,FIX,N51.17.27.16 W001.00.02.31,000.000
340,GOKTU,FIX,N50.15.04.87 W001.22.44.57,000.000
341,GOLES,FIX,N53.36.29.08 W001.05.00.37,000.000
342,GOLVO,FIX,N54.24.40.69 E003.35.07.52,000.000
343,GOMOT,FIX,N55.55.09.60 W000.32.39.12,000.000
344,GOMUP,FIX,N57.00.00.00 W010.00.00.00,000.000
345,GONAN,FIX,N45.00.00.00 W014.00.00.00,000.000
346,GOREV,FIX,N56.03.12.00 E005.00.00.00,000.000
347,GOSAM,FIX,N55.47.19.18 W004.12.02.10,000.000
348,GOTGO,FIX,N55.25.06.55 E002.08.50.44,000.000
349,GOTNA,FIX,N54.35.41.43 W005.35.52.85,000.000
350,GOXUL,FIX,N51.21.32.02 W000.10.33.49,000.000
351,GRICE,FIX,N56.11.48.00 W003.41.07.79,000.000
352,GROVE,FIX,N52.23.37.76 W001.55.43.72,000.000
